Experiment Parameters:
agents_number: 2
max_timestep: 100
render: True
preys_mode: 2
game_mode: 1
prioritization_scale: 0.5
replay_steps: 10
number_nodes: 256
gpu_num: 2
test: False
Student_number: None
recorder: False
optimizer: RMSProp
MARLAlgorithm: IQL
learning_rate: 5e-05
batch_size: 32
memory_capacity: 100
reward_mode: 1
episode_number: 30
grid_size: 5
first_step_memory: 0
target_type: DQN
max_random_moves: 0
target_frequency: 10000
gamma: 0.95
maximum_exploration: 100000

Episode 0, Score: -100, Final Step: 100, Goal: False
Episode 1, Score: -100, Final Step: 100, Goal: False
Episode 2, Score: 56, Final Step: 45, Goal: True
Episode 3, Score: -100, Final Step: 100, Goal: False
Episode 4, Score: 33, Final Step: 68, Goal: True
Episode 5, Score: -100, Final Step: 100, Goal: False
Episode 6, Score: -100, Final Step: 100, Goal: False
Episode 7, Score: -100, Final Step: 100, Goal: False
Episode 8, Score: 18, Final Step: 83, Goal: True
Episode 9, Score: -100, Final Step: 100, Goal: False
Episode 10, Score: -100, Final Step: 100, Goal: False
Episode 11, Score: -100, Final Step: 100, Goal: False
Episode 12, Score: 2, Final Step: 99, Goal: True
Episode 13, Score: -100, Final Step: 100, Goal: False
Episode 14, Score: -100, Final Step: 100, Goal: False
Episode 15, Score: -100, Final Step: 100, Goal: False
Episode 16, Score: 94, Final Step: 7, Goal: True
Episode 17, Score: 11, Final Step: 90, Goal: True
Episode 18, Score: -100, Final Step: 100, Goal: False
Episode 19, Score: 1, Final Step: 100, Goal: True
Episode 20, Score: 18, Final Step: 83, Goal: True
Episode 21, Score: 99, Final Step: 2, Goal: True
Episode 22, Score: -100, Final Step: 100, Goal: False
Episode 23, Score: -100, Final Step: 100, Goal: False
Episode 24, Score: -100, Final Step: 100, Goal: False
Episode 25, Score: -100, Final Step: 100, Goal: False
Episode 26, Score: -100, Final Step: 100, Goal: False
Episode 27, Score: -100, Final Step: 100, Goal: False
Episode 28, Score: 53, Final Step: 48, Goal: True
Episode 29, Score: 58, Final Step: 43, Goal: True
