Experiment Parameters:
agents_number: 2
max_timestep: 100
render: True
preys_mode: 2
game_mode: 1
prioritization_scale: 0.5
replay_steps: 10
number_nodes: 256
gpu_num: 2
test: False
Student_number: None
recorder: False
optimizer: RMSProp
MARLAlgorithm: QMIX
learning_rate: 5e-05
batch_size: 32
memory_capacity: 100
reward_mode: 1
episode_number: 30
grid_size: 5
first_step_memory: 0
target_type: DQN
max_random_moves: 0
target_frequency: 10000
gamma: 0.95
maximum_exploration: 100000

Episode 0, Score: -100, Final Step: 100, Goal: False
Episode 1, Score: 19, Final Step: 82, Goal: True
Episode 2, Score: -100, Final Step: 100, Goal: False
Episode 3, Score: -100, Final Step: 100, Goal: False
Episode 4, Score: -100, Final Step: 100, Goal: False
Episode 5, Score: 54, Final Step: 47, Goal: True
Episode 6, Score: -100, Final Step: 100, Goal: False
Episode 7, Score: -100, Final Step: 100, Goal: False
Episode 8, Score: 42, Final Step: 59, Goal: True
Episode 9, Score: 93, Final Step: 8, Goal: True
Episode 10, Score: -100, Final Step: 100, Goal: False
Episode 11, Score: 65, Final Step: 36, Goal: True
Episode 12, Score: -100, Final Step: 100, Goal: False
Episode 13, Score: -100, Final Step: 100, Goal: False
Episode 14, Score: 22, Final Step: 79, Goal: True
Episode 15, Score: -100, Final Step: 100, Goal: False
Episode 16, Score: -100, Final Step: 100, Goal: False
Episode 17, Score: 10, Final Step: 91, Goal: True
Episode 18, Score: -100, Final Step: 100, Goal: False
Episode 19, Score: 97, Final Step: 4, Goal: True
Episode 20, Score: -100, Final Step: 100, Goal: False
Episode 21, Score: 41, Final Step: 60, Goal: True
Episode 22, Score: -100, Final Step: 100, Goal: False
Episode 23, Score: -100, Final Step: 100, Goal: False
Episode 24, Score: 61, Final Step: 40, Goal: True
Episode 25, Score: 29, Final Step: 72, Goal: True
Episode 26, Score: -100, Final Step: 100, Goal: False
