Experiment Parameters:
agents_number: 2
max_timestep: 100
render: True
preys_mode: 1
game_mode: 1
prioritization_scale: 0.5
replay_steps: 10
number_nodes: 256
gpu_num: 2
test: False
Student_number: None
recorder: False
optimizer: RMSProp
MARLAlgorithm: QMIX
learning_rate: 5e-05
batch_size: 32
memory_capacity: 100
reward_mode: 1
episode_number: 30
grid_size: 5
first_step_memory: 0
target_type: DQN
max_random_moves: 0
target_frequency: 10000
gamma: 0.95
maximum_exploration: 100000

Episode 0, Score: 84, Final Step: 17, Goal: True
Episode 1, Score: 98, Final Step: 3, Goal: True
Episode 2, Score: 100, Final Step: 1, Goal: True
Episode 3, Score: 81, Final Step: 20, Goal: True
Episode 4, Score: 82, Final Step: 19, Goal: True
Episode 5, Score: -100, Final Step: 100, Goal: False
Episode 6, Score: 91, Final Step: 10, Goal: True
Episode 7, Score: 63, Final Step: 38, Goal: True
Episode 8, Score: 100, Final Step: 1, Goal: True
Episode 9, Score: 63, Final Step: 38, Goal: True
Episode 10, Score: 96, Final Step: 5, Goal: True
Episode 11, Score: 97, Final Step: 4, Goal: True
Episode 12, Score: 91, Final Step: 10, Goal: True
Episode 13, Score: 98, Final Step: 3, Goal: True
Episode 14, Score: 57, Final Step: 44, Goal: True
Episode 15, Score: 99, Final Step: 2, Goal: True
Episode 16, Score: 80, Final Step: 21, Goal: True
Episode 17, Score: 87, Final Step: 14, Goal: True
Episode 18, Score: 72, Final Step: 29, Goal: True
Episode 19, Score: 60, Final Step: 41, Goal: True
Episode 20, Score: 83, Final Step: 18, Goal: True
Episode 21, Score: 75, Final Step: 26, Goal: True
Episode 22, Score: 97, Final Step: 4, Goal: True
Episode 23, Score: 33, Final Step: 68, Goal: True
Episode 24, Score: 98, Final Step: 3, Goal: True
Episode 25, Score: 90, Final Step: 11, Goal: True
Episode 26, Score: 94, Final Step: 7, Goal: True
Episode 27, Score: 73, Final Step: 28, Goal: True
Episode 28, Score: 94, Final Step: 7, Goal: True
Episode 29, Score: 100, Final Step: 1, Goal: True
